,name,createdAt,updatedAt,price,billingPackage,change,billingType,number_of_email,number_of_month,storage_string,storage,description,number_of_user,url_image,regular_price,description_fr,ACL,objectId,__type,className,operatingSystems,ram_string,bandwith_string,ram,bandwith,operatingSystemType,number_of_website,number_of_database,extra,number_of_contact,signup_form,image_storage,handling,warrantly,number_of_subdomain,number_domain,cpu_string,cpu,features,type,features_fr,number_ongoing_meeting,number_attendees_per_meeting,number_of_meetings,enable_schedule,max_meeting_duration,is_entry_price,crossed_price,sent_invitation_email,enable_branding
39,Standard SSL,2018-07-13T16:22:33.784Z,2019-10-21T15:09:09.742Z,2999.98,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,24,,,Verifies your domain control & secures your site.,,,,,{'*': {'read': True}},e8heff4SGk,Object,ServicePrice,,,,,,,,,"['Domain validated', 'Issued within minutes']",,,,,100000.0,0.2,100.0,,,,,,,,,,,,,,
40,Deluxe SSL,2018-07-13T16:22:33.968Z,2019-10-21T15:09:04.865Z,99.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,12,,,High assurance verifies your domain & company.,,,,,{'*': {'read': True}},VxbUmvcBCI,Object,ServicePrice,,,,,,,,,"['Domain and company validated', 'Supports Intel vPro® technology to securely manage remote PCs.']",,,,,250000.0,0.2,1.0,,,,,,,,,,,,,,
41,Deluxe SSL,2018-07-13T16:22:34.140Z,2019-10-21T15:08:57.505Z,199.98,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,24,,,High assurance verifies your domain & company.,,,,,{'*': {'read': True}},0JdXHTANBl,Object,ServicePrice,,,,,,,,,"['Domain and company validated', 'Supports Intel vPro® technology to securely manage remote PCs.']",,,,,250000.0,0.2,1.0,,,,,,,,,,,,,,
42,Deluxe SSL,2018-07-13T16:22:34.325Z,2019-10-21T15:08:53.301Z,399.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,12,,,High assurance verifies your domain & company.,,,,,{'*': {'read': True}},YXdAt2spLD,Object,ServicePrice,,,,,,,,,"['Domain validated', 'Issued within minutes']",,,,,250000.0,0.1,1.0,,,,,,,,,,,,,,
43,Deluxe SSL,2018-07-13T16:22:34.499Z,2019-10-21T15:08:49.961Z,799.98,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,24,,,High assurance verifies your domain & company.,,,,,{'*': {'read': True}},aFhajvqKqJ,Object,ServicePrice,,,,,,,,,"['Domain and company validated', 'Supports Intel vPro® technology to securely manage remote PCs.']",,,,,250000.0,0.1,1.0,,,,,,,,,,,,,,
44,Deluxe SSL,2018-07-13T16:22:34.671Z,2019-10-21T15:08:47.493Z,249.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,12,,,High assurance verifies your domain & company.,,,,,{'*': {'read': True}},bZOgG4jx2S,Object,ServicePrice,,,,,,,,,"['Domain and company validated', 'Supports Intel vPro® technology to securely manage remote PCs.']",,,,,250000.0,0.2,5.0,,,,,,,,,,,,,,
45,Deluxe SSL,2018-07-13T16:22:34.843Z,2019-10-21T15:08:43.622Z,499.98,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,24,,,High assurance verifies your domain & company.,,,,,{'*': {'read': True}},aBp1oAbkg1,Object,ServicePrice,,,,,,,,,"['Domain and company validated', 'Supports Intel vPro® technology to securely manage remote PCs.']",,,,,250000.0,0.2,5.0,,,,,,,,,,,,,,
46,Deluxe SSL,2018-07-13T16:22:35.017Z,2019-10-21T15:08:39.407Z,399.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,12,,,High assurance verifies your domain & company.,,,,,{'*': {'read': True}},26Fih8xVaf,Object,ServicePrice,,,,,,,,,"['Domain and company validated', 'Supports Intel vPro® technology to securely manage remote PCs.']",,,,,250000.0,0.2,10.0,,,,,,,,,,,,,,
47,Deluxe SSL,2018-07-13T16:22:35.199Z,2019-10-21T15:08:36.611Z,799.98,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,24,,,High assurance verifies your domain & company.,,,,,{'*': {'read': True}},J8muFeW3zc,Object,ServicePrice,,,,,,,,,"['Domain and company validated', 'Supports Intel vPro® technology to securely manage remote PCs.']",,,,,250000.0,0.2,10.0,,,,,,,,,,,,,,
48,Deluxe SSL,2018-07-13T16:22:35.367Z,2019-10-21T15:12:42.128Z,549.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,12,,,High assurance verifies your domain & company.,,,,,{'*': {'read': True}},EeHIB1lZt2,Object,ServicePrice,,,,,,,,,"['Domain and company validated', 'Supports Intel vPro® technology to securely manage remote PCs.']",,,,,250000.0,0.2,15.0,,,,,,,,,,,,,,
49,Deluxe SSL,2018-07-13T16:22:35.535Z,2019-10-21T15:12:39.197Z,1099.98,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,24,,,High assurance verifies your domain & company.,,,,,{'*': {'read': True}},pqiPU5Nmno,Object,ServicePrice,,,,,,,,,"['Domain and company validated', 'Supports Intel vPro® technology to securely manage remote PCs.']",,,,,250000.0,0.2,15.0,,,,,,,,,,,,,,
50,Standard SSL,2018-07-13T16:22:35.717Z,2019-10-21T15:12:36.492Z,699.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,12,,,Verifies your domain control & secures your site.,,,,,{'*': {'read': True}},CEzqW1KZCy,Object,ServicePrice,,,,,,,,,"['Domain and company validated', 'Supports Intel vPro® technology to securely manage remote PCs.']",,,,,250000.0,0.2,20.0,,,,,,,,,,,,,,
51,Deluxe SSL,2018-07-13T16:22:35.891Z,2019-10-21T15:12:33.638Z,1399.98,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,24,,,High assurance verifies your domain & company.,,,,,{'*': {'read': True}},6hVSzfLsCs,Object,ServicePrice,,,,,,,,,"['Domain and company validated', 'Supports Intel vPro® technology to securely manage remote PCs.']",,,,,250000.0,0.2,20.0,,,,,,,,,,,,,,
52,Deluxe SSL,2018-07-13T16:22:36.071Z,2019-10-21T15:12:29.609Z,999.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,12,,,High assurance verifies your domain & company.,,,,,{'*': {'read': True}},Zt39MjuudZ,Object,ServicePrice,,,,,,,,,"['Domain and company validated', 'Supports Intel vPro® technology to securely manage remote PCs.']",,,,,250000.0,0.2,30.0,,,,,,,,,,,,,,
53,Deluxe SSL,2018-07-13T16:22:36.239Z,2019-10-21T15:12:25.693Z,1999.98,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,24,,,High assurance verifies your domain & company.,,,,,{'*': {'read': True}},eqJXgsrB3G,Object,ServicePrice,,,,,,,,,"['Domain and company validated', 'Supports Intel vPro® technology to securely manage remote PCs.']",,,,,250000.0,0.2,30.0,,,,,,,,,,,,,,
54,Deluxe SSL,2018-07-13T16:22:36.407Z,2019-10-21T15:12:21.449Z,1299.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,12,,,High assurance verifies your domain & company.,,,,,{'*': {'read': True}},jfEn9xyWy6,Object,ServicePrice,,,,,,,,,"['Domain validated', 'Issued within minutes']",,,,,250000.0,0.2,40.0,,,,,,,,,,,,,,
55,Standard SSL,2018-07-13T16:22:36.595Z,2019-10-21T15:12:16.835Z,2599.98,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,24,,,Verifies your domain control & secures your site.,,,,,{'*': {'read': True}},jMaHWeW8vX,Object,ServicePrice,,,,,,,,,"['Domain and company validated', 'Supports Intel vPro® technology to securely manage remote PCs.']",,,,,250000.0,0.2,40.0,,,,,,,,,,,,,,
56,Standard SSL,2018-07-13T16:22:36.771Z,2019-10-21T15:12:13.451Z,1599.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,12,,,Verifies your domain control & secures your site.,,,,,{'*': {'read': True}},INAAQQmqA1,Object,ServicePrice,,,,,,,,,"['Domain and company validated', 'Supports Intel vPro® technology to securely manage remote PCs.']",,,,,250000.0,0.2,50.0,,,,,,,,,,,,,,
57,Standard SSL,2018-07-13T16:22:36.943Z,2019-10-21T15:12:10.939Z,3199.98,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,24,,,Verifies your domain control & secures your site.,,,,,{'*': {'read': True}},eFWvFSafej,Object,ServicePrice,,,,,,,,,"['Domain and company validated', 'Supports Intel vPro® technology to securely manage remote PCs.']",,,,,250000.0,0.2,50.0,,,,,,,,,,,,,,
58,Standard SSL,2018-07-13T16:22:37.123Z,2019-10-21T15:12:06.357Z,3099.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,12,,,Verifies your domain control & secures your site.,,,,,{'*': {'read': True}},RcL6PyZnby,Object,ServicePrice,,,,,,,,,"['Domain and company validated', 'Supports Intel vPro® technology to securely manage remote PCs.']",,,,,250000.0,0.2,100.0,,,,,,,,,,,,,,
59,Standard SSL,2018-07-13T16:22:37.307Z,2019-10-21T15:12:02.857Z,6199.98,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,24,,,Verifies your domain control & secures your site.,,,,,{'*': {'read': True}},0glGXCQhtt,Object,ServicePrice,,,,,,,,,"['Domain and company validated', 'Supports Intel vPro® technology to securely manage remote PCs.']",,,,,250000.0,0.2,100.0,,,,,,,,,,,,,,
60,App Free,2018-09-03T09:33:40.845Z,2019-07-22T16:19:00.659Z,0.0,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'KebmybdPts'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,free,10GB,10Gi,,,,,,{'*': {'read': True}},niCzqvNs2p,Object,ServicePrice,,2GB,10Mb,2G,10Mb,,,,,,,,,,,,Up to 1c/2t,1,,,,,,,,,,,,
61,app enterprise,2018-09-06T09:15:31.389Z,2018-12-08T12:51:32.238Z,,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'w0u0CIhaaQ'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,enterprise,contact us for,,,,,,,{'*': {'read': True}},kqjeGDDnok,Object,ServicePrice,,contact us for,contact us for,,,,,,,,,,,,,,contact us,,,,,,,,,,,,,
62,Plesk Starter,2018-09-06T13:04:08.498Z,2019-10-21T15:11:58.829Z,1.49,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,1,,,Host a single website.,,,,,{'*': {'read': True}},02sSDCbD7A,Object,ServicePrice,,,,,,,,,,,,,,,,,,,"['1 website', '30 GB storage', 'Unmetered bandwidth*', '1 MySQL database (1GB)']",Plesk,,,,,,,,,,
63,Plesk Economy,2018-09-06T13:04:08.687Z,2019-10-21T15:11:53.562Z,5.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,1,,,Best price for a basic site.,,,,,{'*': {'read': True}},ycsazXME3w,Object,ServicePrice,,,,,,,,,,,,,,,,,,,"['1 website', '100 GB space', 'Unmetered bandwidth*', '110 MySQL databases (1GB each)', '1 MSSQL database (200MB)', '50 FTP users']",Plesk,,,,,,,,,,
64,Plesk Deluxe,2018-09-06T13:04:08.869Z,2019-10-21T15:13:42.992Z,8.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,1,,,A great home for your multiple sites.,,,,,{'*': {'read': True}},65KgxHFKgi,Object,ServicePrice,,,,,,,,,,,,,,,,,,,"['Unlimited websites', 'Unmetered storage', 'Unmetered bandwidth*', '25 MySQL databases (1GB each)', '2 MSSQL databases (200MB each)', '50 FTP users']",Plesk,,,,,,,,,,
65,Plesk Ultimate,2018-09-06T13:04:09.077Z,2020-05-18T11:55:05.909Z,14.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,1,,,Handles the most traffic and complex sites.,,,,,{'*': {'read': True}},NjQgmt6BxJ,Object,ServicePrice,,,,,,,,,,,,,,,,,,,"['Unlimited websites', 'Unmetered storage', 'Unmetered bandwidth*', 'Unlimited MySQL databases (1GB each)', 'Unlimited MSSQL databases (200MB each)', 'Unlimited FTP users']",Plesk,['Une base de donnée MYSQL illimité d 1GB chacune'],,,,,,,,,
66,Website BuilderBasic 1 month,2018-09-06T13:06:04.379Z,2020-05-16T11:46:00.698Z,4.39,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'KebmybdPts'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,1,,,Perfect for personal websites.,,,,,{'*': {'read': True}},ycJ7ruwPlB,Object,ServicePrice,,,,,,,,,,,,,,,,,,,"[""A simple site that's fast and easy to create"", '300 Business & Personal Themes', 'Unlimited Pages']",Builder,"['Un site Web simpliste, rapide et facile à créer', 'Comprend :', '300 thèmes professionnels / personnels', 'Pages Web illimitées']",,,,,,,,,
67,WWebsite Builder standart 1 month,2018-09-06T13:06:04.614Z,2020-05-16T11:41:15.494Z,7.73,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,1,,,Ideal for small businesses.,,,,,{'*': {'read': True}},vINpoWIVta,Object,ServicePrice,,,,,,,,,,,,,,,,,,,"['Adds business designs, more resources and a mobile site.', '300 Business & Personal Themes', 'Unlimited Pages', 'Mobile Site']",Builder,"['Comprend :', '300 thèmes professionnels / personnels', 'Pages Web illimitées', 'Site mobile']",,,,,,,,,
68,Website Builder Business 1 month,2018-09-06T13:06:04.846Z,2020-05-16T11:49:25.879Z,11.07,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'gnRlR0IY6Q'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,1,,,For your growing business needs.,,,,,{'*': {'read': True}},bwQQqQW2zx,Object,ServicePrice,,,,,,,,,,,,,,,,,,,"['Adds business designs, more resources and a mobile site.', '300 Business & Personal Themes', 'Unlimited Pages', 'Mobile Site', 'Search Engine Optimization', 'One-Click Social Media Manager']",Builder,"['Comprend :', '300 thèmes professionnels / personnels', 'Pages Web illimitées', 'Site mobile', 'SEO', 'Gestionnaire de médias sociaux en un clic']",,,,,,,,,
69,cPanel Starter,2018-09-06T13:11:46.670Z,2019-12-06T14:44:55.840Z,1.49,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'KebmybdPts'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,1,,,"cPanel Hosting thatâ€™s easy, reliable and lightning-fast.",,,,,{'*': {'read': True}},BVDg0Gi66n,Object,ServicePrice,,,,,,,,,,,,,,,,,,,"['1 website', '30 GB storage', 'Unmetered bandwidth*']",Cpanel,,,,,,,,,,
70,cPanel Economy,2018-09-06T13:11:46.847Z,2019-10-21T15:13:23.663Z,5.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,1,,,"cPanel Hosting thatâ€™s easy, reliable and lightning-fast.",,,,,{'*': {'read': True}},QLMBx2ADng,Object,ServicePrice,,,,,,,,,,,,,,,,,,,"['1 website', '100 GB space', 'Unlimited bandwidth**', '100 email accounts**', '10 MySQL databases (1 GB ea.)']",Cpanel,,,,,,,,,,
71,cPanel Deluxe,2018-09-06T13:11:47.039Z,2019-12-06T14:45:17.946Z,8.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'gnRlR0IY6Q'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,1,,,"cPanel Hosting thatâ€™s easy, reliable and lightning-fast.",,,,,{'*': {'read': True}},4CvP0yfUs3,Object,ServicePrice,,,,,,,,,,,,,,,,,,,"['Unlimited websites', 'Unlimited space', 'Unlimited bandwidth*', '500 email accounts**', '25 MySQL databases (1 GB ea.)']",Cpanel,,,,,,,,,,
72,cPanel Ultimate,2018-09-06T13:11:47.220Z,2019-10-21T15:13:16.726Z,14.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'w0u0CIhaaQ'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,1,,,"cPanel Hosting thatâ€™s easy, reliable and lightning-fast.",,,,,{'*': {'read': True}},ouR8CIJpqo,Object,ServicePrice,,,,,,,,,,,,,,,,,,,"['Unlimited websites', 'Unlimited space', 'Unlimited bandwidth*', '1000 email accounts**', 'Unlimited MySQL databases (1 GB ea.)', '2X Processing power & memory ']",Cpanel,,,,,,,,,,
73,Plesk Starter,2018-09-06T13:11:47.419Z,2019-10-21T15:13:14.315Z,1.49,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'KebmybdPts'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,1,,,Host a single website.,,,,,{'*': {'read': True}},AoObhfWp7G,Object,ServicePrice,,,,,,,,,,,,,,,,,,,"['1 website', '30 GB storage', 'Unmetered bandwidth*', '1 MySQL database (1GB)']",Plesk,,,,,,,,,,
74,Plesk Economy,2018-09-06T13:11:47.599Z,2019-10-21T15:13:09.472Z,5.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,1,,,Best price for a basic site.,,,,,{'*': {'read': True}},k6Gva2LQwP,Object,ServicePrice,,,,,,,,,,,,,,,,,,,"['1 website', '100 GB space', 'Unmetered bandwidth*', '110 MySQL databases (1GB each)', '1 MSSQL database (200MB)', '50 FTP users']",Plesk,,,,,,,,,,
75,Plesk Deluxe,2018-09-06T13:11:47.781Z,2019-10-21T15:13:06.625Z,8.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'gnRlR0IY6Q'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,1,,,A great home for your multiple sites.,,,,,{'*': {'read': True}},MLS7Va5IIw,Object,ServicePrice,,,,,,,,,,,,,,,,,,,"['Unlimited websites', 'Unmetered storage', 'Unmetered bandwidth*', '25 MySQL databases (1GB each)', '2 MSSQL databases (200MB each)', '50 FTP users']",Plesk,,,,,,,,,,
76,Plesk Ultimate,2018-09-06T13:11:47.976Z,2020-05-18T11:55:01.784Z,14.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'w0u0CIhaaQ'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,1,,,Handles the most traffic and complex sites.,,,,,{'*': {'read': True}},dzusOvhlab,Object,ServicePrice,,,,,,,,,,,,,,,,,,,"['Unlimited websites', 'Unmetered storage', 'Unmetered bandwidth*', 'Unlimited MySQL databases (1GB each)', 'Unlimited MSSQL databases (200MB each)', 'Unlimited FTP users']",Plesk,['Une base de donnée MYSQL illimité d 1GB chacune'],,,,,,,,,
77,ERP business 12 mois,2018-09-13T09:10:08.448Z,2018-09-25T17:24:51.902Z,594.0,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'gnRlR0IY6Q'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,12,2TB,1900Gi,,,,,,{'*': {'read': True}},4Q1ZU3K9JG,Object,ServicePrice,,16GB,200Mbps,16G,200Mbps,,,,,,,,,,,,Up to 4c/8t - Up to 3.1GHz,4,,,,,,,,,,,,
78,ERP standard 12 mois,2018-09-13T09:14:39.194Z,2018-09-25T17:24:42.123Z,359.76,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,12,1TB,900Gi,,,,,,{'*': {'read': True}},S7143GMweM,Object,ServicePrice,,8GB,100Mps,8G,100Mps,,,,,,,,,,,,Up to 2c/4t - Up to 2.1 GHz,2,,,,,,,,,,,,
79,ERP standard 1 mois,2018-05-17T16:09:53.029Z,2018-09-25T17:25:54.172Z,34.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,1,1TB,900Gi,,,,,,{'*': {'read': True}},2VuPFFFfEW,Object,ServicePrice,,8GB,100Mps,8G,100Mps,,,,,,,,,,,,Up to 2c/4t - Up to 2.1 GHz,2,,,,,,,,,,,,
80,ERP Business 1 mois,2018-05-17T16:09:53.049Z,2018-09-25T17:25:48.963Z,54.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'gnRlR0IY6Q'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,1,2TB,1900Gi,,,,,,{'*': {'read': True}},9ZSLOxD6Qe,Object,ServicePrice,,16GB,200Mbps,16G,200Mbps,,,,,,,,,,,,Up to 4c/8t - Up to 3.1GHz,4,,,,,,,,,,,,
81,ERP standard 3 mois,2018-05-17T16:09:53.093Z,2018-09-25T17:25:44.090Z,133.96,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,4,1TB,1Ti,,,,,,{'*': {'read': True}},Goh1jQ3AIG,Object,ServicePrice,,8GB,100Mps,8G,100Mps,,,,,,,,,,,,Up to 2c/4t - Up to 2.1 GHz,2,,,,,,,,,,,,
82,ERP Business 4 mois,2018-05-17T16:09:53.112Z,2018-09-25T17:25:38.442Z,213.96,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'gnRlR0IY6Q'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,4,2TB,1900Gi,,,,,,{'*': {'read': True}},kiCubqkRdZ,Object,ServicePrice,,16GB,200Mbps,16G,200Mbps,,,,,,,,,,,,Up to 4c/8t - Up to 3.1GHz,4,,,,,,,,,,,,
83,ERP standard 6 mois,2018-05-17T16:09:53.156Z,2018-09-25T17:25:33.042Z,197.88,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,6,1TB,900Gi,,,,,,{'*': {'read': True}},SA0Ae3Z8mt,Object,ServicePrice,,8GB,100Mps,8G,100Mps,,,,,,,,,,,,Up to 2c/4t - Up to 2.1 GHz,2,,,,,,,,,,,,
84,ERP business 6 mois,2018-05-17T16:09:53.174Z,2018-09-25T17:25:25.141Z,317.88,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'gnRlR0IY6Q'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,6,2TB,1900Gi,,,,,,{'*': {'read': True}},SMdv6WUGrX,Object,ServicePrice,,16GB,200Mbps,16G,200Mbps,,,,,,,,,,,,Up to 4c/8t - Up to 3.1GHz,4,,,,,,,,,,,,
85,Basic Messaging,2018-09-24T08:35:16.095Z,2020-05-18T10:48:27.118Z,53.98,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'KebmybdPts'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",1.0,12,10GB,10,Self-employed and small businesses,20,img/basic-email.png,9.48 ,Auto-employé (freelancer) et Petite entreprise,{'*': {'read': True}},8A66JCdhEe,Object,ServicePrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Pro Messaging,2018-09-24T08:40:00.424Z,2020-05-18T10:53:13.387Z,100.2,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",10.0,12,50GB+,50,Startup and Medium Business,100,img/professional-email.png,18.48,"Start up et moyenne entreprise
",{'*': {'read': True}},nGbrubsiS5,Object,ServicePrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Enterprise Messaging,2018-09-24T08:41:26.499Z,2020-05-18T11:10:35.187Z,298.2,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'gnRlR0IY6Q'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",50.0,12,unlimited,500,Large Business,unlimited,img/enterprise-email.png,49.48,Grand Business,{'*': {'read': True}},wleiqSglb9,Object,ServicePrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
