,name,createdAt,updatedAt,price,billingPackage,change,billingType,number_of_email,number_of_month,storage_string,storage,description,number_of_user,url_image,regular_price,description_fr,ACL,objectId,__type,className,operatingSystems,ram_string,bandwith_string,ram,bandwith,operatingSystemType,number_of_website,number_of_database,extra,number_of_contact,signup_form,image_storage,handling,warrantly,number_of_subdomain,number_domain,cpu_string,cpu,features,type,features_fr,number_ongoing_meeting,number_attendees_per_meeting,number_of_meetings,enable_schedule,max_meeting_duration,is_entry_price,crossed_price,sent_invitation_email,enable_branding
10,VPS Price 7,2018-07-12T19:49:29.883Z,2019-10-21T13:33:14.571Z,59.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'w0u0CIhaaQ'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,1,,90,,,,,,{'*': {'read': True}},HmPOol0jxA,Object,ServicePrice,"[{'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'vU2xL6vEQq'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'Rar4fPlAUM'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'wTd04FKuwW'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'PusBi18MCB'}]",3,unlimited,3,unlimited,"{'__type': 'Pointer', 'className': 'OperatingSystemType', 'objectId': 'AzfimD16BL'}",,,,,,,,,,,,,,,,,,,,,,,,
11,VPS Price 8,2018-07-12T19:56:00.158Z,2019-10-21T13:33:25.288Z,79.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'w0u0CIhaaQ'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,1,,120,,,,,,{'*': {'read': True}},J1Sm39Ebvr,Object,ServicePrice,"[{'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'vU2xL6vEQq'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'Rar4fPlAUM'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'wTd04FKuwW'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'PusBi18MCB'}]",4,unlimited,4,unlimited,"{'__type': 'Pointer', 'className': 'OperatingSystemType', 'objectId': 'AzfimD16BL'}",,,,,,,,,,,,,,,,,,,,,,,,
12,VPS Price 9,2018-07-12T19:57:39.233Z,2019-10-21T13:33:21.613Z,149.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'gnRlR0IY6Q'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,1,,240,,,,,,{'*': {'read': True}},BiCG5iNmna,Object,ServicePrice,"[{'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'vU2xL6vEQq'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'Rar4fPlAUM'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'wTd04FKuwW'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'PusBi18MCB'}]",8,unlimited,8,unlimited,"{'__type': 'Pointer', 'className': 'OperatingSystemType', 'objectId': 'AzfimD16BL'}",,,,,,,,,,,,,,,,,,,,,,,,
13,Deluxe,2018-07-13T02:16:44.123Z,2019-10-21T15:14:23.721Z,131.88,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'gnRlR0IY6Q'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",500.0,3,,,,,,,,{'*': {'read': True}},NpDYSrBtS8,Object,ServicePrice,,,,,,,0.1,25.0,,,,,,,,,,,,,,,,,,,,,,
14,Deluxe,2018-07-13T02:16:44.286Z,2019-10-21T15:14:28.379Z,263.76,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'gnRlR0IY6Q'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",500.0,9,,,,,,,,{'*': {'read': True}},8OBgGc2xrz,Object,ServicePrice,,,,,,,0.1,25.0,,,,,,,,,,,,,,,,,,,,,,
15,Deluxe,2018-07-13T02:16:44.454Z,2019-10-21T15:14:31.816Z,395.64,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'gnRlR0IY6Q'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",500.0,6,,,,,,,,{'*': {'read': True}},J5haTlrIAq,Object,ServicePrice,,,,,,,0.1,25.0,,,,,,,,,,,,,,,,,,,,,,
16,Deluxe,2018-07-13T02:16:44.618Z,2019-10-21T15:14:35.487Z,10.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'gnRlR0IY6Q'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",500.0,3,,,,,,,,{'*': {'read': True}},YSvTEIa5RQ,Object,ServicePrice,,,,,,,0.1,25.0,,,,,,,,,,,,,,,,,,,,,,
17,Beginner,2018-07-13T07:49:48.730Z,2019-12-07T13:16:05.276Z,7.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'KebmybdPts'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",5000.0,1,,,For anyone just getting started with email marketing.,,,,,{'*': {'read': True}},TPHW5C7jf0,Object,ServicePrice,,,,,,,,,"['Works with Facebook, Etsy & More']",500.0,Single,Basic,Unsubscribe,,,,,,,,,,,,,,,,,
18,Up & Running,2018-07-13T07:49:48.932Z,2019-10-21T14:53:20.159Z,11.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",25000.0,1,,,Already have clients? This plan’s for you.,,,,,{'*': {'read': True}},koNgxKUPO6,Object,ServicePrice,,,,,,,,,"['Works with Facebook, Etsy & More', 'Automated Welcome Email', 'Converts Blog Posts to Email', 'Unsubscribe Options', 'Hot Leads List']",2500.0,0.1,0.1,0.1,,,,,,,,,,,,,,,,,
19,Pro,2018-07-13T07:49:49.105Z,2019-12-07T13:16:29.036Z,23.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'gnRlR0IY6Q'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",50000.0,1,,,For savvy marketers with growing mailing lists.,,,,,{'*': {'read': True}},j2PnNXey1m,Object,ServicePrice,,,,,,,,,"['Works with Facebook, Etsy & More', 'Automated Welcome Email', 'Converts Blog Posts to Email', 'Unsubscribe Options', 'Hot Leads List', 'Auto-sends Event Emails', 'Automated Email Campaigns', 'Record Signup IPs', 'Share Statistics w/Others']",5000.0,0.1,0.1,0.1,,,,,,,,,,,,,,,,,
