,name,task_name,rank,createdAt,updatedAt,ACL,objectId,__type,className
0,Integrated,integrated,2,2018-05-17T16:11:53.980Z,2018-09-05T15:37:55.735Z,{'*': {'read': True}},WhqWS3cgBD,Object,ServiceSubscriptedMode
1,Standalone,standalone,1,2018-05-17T16:11:56.351Z,2018-09-05T15:38:05.230Z,{'*': {'read': True}},U1KVT1nDYt,Object,ServiceSubscriptedMode
